期間,時間,放送局,対象地域,備考,タイプ,配信サイト,"対象地域・備考
[28]",開始,終了
2020年10月11日 - 12月20日（第1クール）2021年4月4日 - 6月27日（第2クール）,日曜 22:30 - 23:00,TOKYO MX,東京都,,放送,,,2020-10-11,
2020年10月13日 - 12月22日（第1クール）2021年4月12日 - 7月5日（第2クール）,火曜 0:00 - 0:30（月曜深夜）月曜 23:30 - 火曜 0:00,AT-X,日本全域,CS放送 / リピート放送あり,放送,,,2020-10-13,
2020年10月14日 - 12月23日（第1クール）2021年4月7日 - 6月30日（第2クール）,水曜 0:00 - 0:30（火曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,,2020-10-14,
2020年10月14日 - 12月23日（第1クール）2021年4月7日 - 6月30日（第2クール）,水曜 2:30 - 3:00（火曜深夜）,毎日放送,近畿広域圏,製作参加 / 『アニメ特区』第1部,放送,,,2020-10-14,
2021年1月27日 - 4月7日（第1クール）2021年4月14日 - 7月7日（第2クール）,水曜 1:28 - 1:58（火曜深夜）,IBC岩手放送,岩手県,,放送,,,2021-01-27,
2021年4月19日 - 6月27日（第1クール）2022年1月8日 - 4月3日（第2クール）,月曜 0:50 - 1:20（日曜深夜）,UTYテレビ山梨,山梨県,『にちようスクエア』枠,放送,,,2021-04-19,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,Amazonプライム・ビデオ,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,アニメ放題,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,ABEMAビデオ（ABEMAプレミアム会員限定）,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,dアニメストア,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,J:COMオンデマンド,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,TELASA,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,dTV,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,Netflix,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,バンダイチャンネル,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,ひかりTV,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,Hulu,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,U-NEXT,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,あにてれ,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,GYAO!ストア,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,COCORO VIDEO,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,TSUTAYA TV,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,DMM.com,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,ニコニコチャンネル,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,HAPPY!動画,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,ビデオマーケット,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,milplus,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,music.jp,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,ムービーフルplus,,2020-10-11,
2020年10月11日（第1クール）2021年4月4日（第2クール）,日曜 23:00 更新,,,,配信,Rakuten TV,,2020-10-11,
2020年10月16日（第1クール）2021年4月9日（第2クール）,金曜 23:00 - 23:30,,,,配信,ニコニコ生放送,,2020-10-16,
2020年10月16日（第1クール）2021年4月9日（第2クール）,金曜 23:30 - 土曜 0:00,,,,配信,ABEMA,,2020-10-16,
2020年10月17日（第1クール）2021年4月10日（第2クール）,土曜 0:00（金曜深夜） 更新,,,,配信,GYAO!,,2020-10-17,
2022年8月4日 - 8月11日,木曜 20:30 - 21:00,AT-X,,,放送,,CS放送 / リピート放送あり,2022-08-04,2022-08-11
2022年9月24日 - 10月1日,土曜 1:25 - 1:55（金曜深夜）,毎日放送（放送キー局）をはじめとするTBS系列全28局,,,放送,,秋田県・福井県・徳島県・佐賀県を除く『スーパーアニメイズム』枠,2022-09-24,2022-10-01
