期間,時間,放送局,"対象地域・備考
[140]",タイプ,配信サイト,開始,終了
2022年10月2日 - 2023年1月8日[141],日曜 17:00 - 17:30,毎日放送（製作局）をはじめとするTBS系列全28局,日本国内[注 8]連動データ放送[142]『日5』枠,放送,,2022-10-02,2023-01-08
2022年10月11日 - 2023年1月3日（第1話 - 第11話）2023年1月13日（第12話[143]）,火曜 22:00 - 22:30金曜 23:30 - 土曜 0:00,AT-X,CS放送リピート放送あり[144],放送,,2022-10-11,2023-01-03
2022年11月5日 - 2023年1月28日,土曜 20:00 - 20:30,アニマックス,BS/CS放送[145],放送,,2022-11-05,2023-01-28
2023年1月6日 - 2023年3月24日,金曜 19:00 - 19:30,BS11,BS放送『アニメ+』枠[146],放送,,2023-01-06,2023-03-24
2022年10月2日,日曜 18:00 更新,,,配信,バンダイチャンネル,2022-10-02,
2022年10月2日,日曜 18:00 更新,,,配信,ガンダムファンクラブ,2022-10-02,
2022年10月2日,日曜 18:00 更新,,,配信,Hulu,2022-10-02,
2022年10月2日,日曜 18:00 更新,,,配信,ABEMAビデオ（ABEMAプレミアム）,2022-10-02,
2022年10月2日,日曜 18:00 更新,,,配信,U-NEXT,2022-10-02,
2022年10月2日,日曜 18:00 更新,,,配信,dアニメストア,2022-10-02,
2022年10月2日,日曜 18:00 更新,,,配信,Disney+,2022-10-02,
2022年10月6日,木曜 12:00 更新,,,配信,ふらっと動画,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,WOWOWオンデマンド,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,Amazon Prime Video,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,ひかりTV,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,アニメ放題,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,Netflix,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,dTV,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,FOD,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,Google Play,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,ビデオマーケット,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,GYAO!ストア,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,music.jp,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,Rakuten TV,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,HAPPY!動画,2022-10-06,
2022年10月6日,木曜 18:00 更新,,,配信,ニコニコチャンネル,2022-10-06,
