期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2022年7月15日 - 9月30日,金曜 0:30 - 1:00（木曜深夜）,TOKYO MX,東京都,協力,放送,,2022-07-15,2022-09-30
2022年7月17日 - 10月2日,日曜 23:30 - 月曜 0:00,AT-X,日本全域,CS放送 / リピート放送あり,放送,,2022-07-17,2022-10-02
2022年7月15日,金曜 0:30（木曜深夜） 更新,,,,配信,ABEMA,2022-07-15,
2022年7月15日,金曜 0:30（木曜深夜） 更新,,,,配信,dアニメストア（本店・for Prime Video・ニコニコ支店）,2022-07-15,
2022年7月15日,金曜 0:30（木曜深夜） 更新,,,,配信,FOD,2022-07-15,
2022年7月15日,金曜 0:30（木曜深夜） 更新,,,,配信,ニコニコ生放送,2022-07-15,
2022年7月15日,金曜 0:30（木曜深夜） 更新,,,,配信,アニメタイムズ,2022-07-15,
2022年7月15日,金曜 0:30（木曜深夜） 更新,,,,配信,dTV,2022-07-15,
2022年7月15日,金曜 0:30（木曜深夜） 更新,,,,配信,ひかりTV,2022-07-15,
2022年7月16日,土曜 0:00（金曜深夜） 更新,,,,配信,auスマートパスプレミアム,2022-07-16,
2022年7月16日,土曜 0:00（金曜深夜） 更新,,,,配信,TELASA,2022-07-16,
2022年7月16日,土曜 0:00（金曜深夜） 更新,,,,配信,メガパック,2022-07-16,
2022年7月16日,土曜 0:00（金曜深夜） 更新,,,,配信,みるプラス,2022-07-16,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,Amazon Prime Video,2022-07-18,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,ニコニコチャンネル,2022-07-18,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,ビデオマーケット,2022-07-18,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,music.jp,2022-07-18,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,アニメカ,2022-07-18,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,バンダイチャンネル,2022-07-18,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,GYAO!,2022-07-18,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,GYAO!ストア,2022-07-18,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,U-NEXT,2022-07-18,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,アニメ放題,2022-07-18,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,Rakuten TV,2022-07-18,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,Hulu,2022-07-18,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,Google Play,2022-07-18,
2022年7月18日,月曜 0:30（日曜深夜） 更新,,,,配信,TVer,2022-07-18,
2022年7月18日,月曜 10:00 更新,,,,配信,VIDEX,2022-07-18,
2022年7月18日,月曜 12:00 更新,,,,配信,HAPPY!動画,2022-07-18,
