期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2022年1月9日 - 4月3日,日曜 2:00 - 2:30（土曜深夜）,朝日放送テレビ（幹事局）、メ〜テレ（製作参加）及びテレビ朝日系列全24局,日本全国（一部[注釈 6]を除く）,『ANiMAZiNG!!!』枠,放送,,2022-01-09,2022-04-03
2022年1月10日 - 4月4日,月曜 0:00 - 0:30（日曜深夜）,BS11,BS放送,製作参加 / 『ANIME+』枠,放送,,2022-01-10,2022-04-04
2022年1月12日 - 4月6日,水曜 23:00 - 23:30,AT-X,CS放送,字幕放送[46] / リピート放送あり,放送,,2022-01-12,2022-04-06
2022年1月9日,日曜 2:30（土曜深夜） 更新,,,,配信,dアニメストア（本店・ニコニコ支店・for Prime Video）,2022-01-09,
2022年1月9日,日曜 2:30（土曜深夜） 更新,,,,配信,ひかりTV,2022-01-09,
2022年1月11日,火曜 2:30（月曜深夜） 更新,,,,配信,Amazon Prime Video,2022-01-11,
2022年1月11日,火曜 2:30（月曜深夜） 更新,,,,配信,U-NEXT,2022-01-11,
2022年1月11日,火曜 2:30（月曜深夜） 更新,,,,配信,アニメ放題,2022-01-11,
2022年1月11日,火曜 2:30（月曜深夜） 更新,,,,配信,ABEMA,2022-01-11,
2022年1月11日,火曜 2:30（月曜深夜） 更新,,,,配信,バンダイチャンネル,2022-01-11,
2022年1月11日,火曜 2:30（月曜深夜） 更新,,,,配信,GYAO!,2022-01-11,
2022年1月11日,火曜 2:30（月曜深夜） 更新,,,,配信,dTV,2022-01-11,
2022年1月11日,火曜 2:30（月曜深夜） 更新,,,,配信,FOD,2022-01-11,
2022年1月11日,火曜 2:30（月曜深夜） 更新,,,,配信,ニコニコチャンネル,2022-01-11,
2022年1月11日,火曜 12:00 更新,,,,配信,TVer,2022-01-11,
2022年1月11日,火曜 12:00 更新,,,,配信,Hulu,2022-01-11,
2022年1月11日,火曜 22:00 - 22:30,,,,配信,ニコニコ生放送,2022-01-11,
2022年1月13日,木曜 0:00（水曜深夜） 更新,,,,配信,J:COMオンデマンド,2022-01-13,
2022年1月13日,木曜 0:00（水曜深夜） 更新,,,,配信,TELASA,2022-01-13,
2022年1月13日,木曜 0:00（水曜深夜） 更新,,,,配信,milplus,2022-01-13,
