期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2021年4月8日 - 6月24日,木曜 23:00 - 23:30,AT-X,日本全域,製作参加 / CS放送 / 字幕放送[8] / リピート放送あり,放送,,2021-04-08,2021-06-24
2021年4月8日 - 6月24日,木曜 23:30 - 金曜 0:00,TOKYO MX,東京都,,放送,,2021-04-08,2021-06-24
2021年4月8日 - 6月24日,木曜 23:30 - 金曜 0:00,BS日テレ,日本全域,製作参加 / BS/BS4K放送 / 『アニメにむちゅ〜』枠,放送,,2021-04-08,2021-06-24
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,U-NEXT,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,アニメ放題,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,dアニメストア,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,ABEMA,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,バンダイチャンネル,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,Hulu,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,FOD,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,TELASA,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,J:COMオンデマンド,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,みるプラス,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,auスマートパスプレミアム,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,GYAO!,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,Amazonプライム・ビデオ,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,ひかりTV,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,ニコニコチャンネル,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,ビデオマーケット,2021-04-09,
2021年4月9日,金曜 0:00（木曜深夜） 更新,,,,配信,milplus,2021-04-09,
2021年4月9日,金曜 0:00 - 0:30（木曜深夜）,,,,配信,ニコニコ生放送,2021-04-09,
