期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2021年1月6日 - 3月24日,水曜 23:00 - 23:30,TOKYO MX,東京都,,放送,,2021-01-06,2021-03-24
2021年1月10日 - 3月28日,日曜 23:30 - 月曜 0:00,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2021-01-10,2021-03-28
2021年1月22日 -,金曜 1:59 - 2:29（木曜深夜）,南海放送,愛媛県,,放送,,2021-01-22,
2021年1月6日,水曜 23:30 - 木曜 0:00,,,,配信,ニコニコ生放送,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,ABEMA,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,Amazonプライム・ビデオ,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,dアニメストア,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,FOD,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,U-NEXT,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,アニメ放題,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,あにてれ,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,バンダイチャンネル,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,ひかりTV,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,ニコニコチャンネル,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,DMM.com,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,Google Play,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,GYAO!ストア,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,music.jp,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,Rakuten TV,2021-01-06,
2021年1月6日,水曜 23:30 更新,,,,配信,ビデオマーケット,2021-01-06,
2021年1月7日,木曜 0:00（水曜深夜） 更新,,,,配信,ムービーフルPlus,2021-01-07,
2021年1月7日,木曜 10:00 更新,,,,配信,VIDEX,2021-01-07,
2021年1月7日,木曜 12:00 更新（第1話）金曜 12:00 更新（第2話以降）,,,,配信,HAPPY!動画,2021-01-07,
2021年1月7日,木曜 12:00 更新,,,,配信,ゲオTV,2021-01-07,
2021年1月7日,木曜 19:00 更新,,,,配信,TSUTAYA TV,2021-01-07,
2021年1月9日,土曜 0:00（金曜深夜） 更新,,,,配信,J:COMオンデマンド,2021-01-09,
2021年1月9日,土曜 0:00（金曜深夜） 更新,,,,配信,milplus,2021-01-09,
2021年1月9日,土曜 0:00（金曜深夜） 更新,,,,配信,TELASA,2021-01-09,
