期間,時間,放送局,対象地域,備考,タイプ,開始,終了
2021年10月10日 - 12月26日,日曜 1:55 - 2:25（土曜深夜）,中京テレビ,中京広域圏,製作参加,放送,2021-10-10,2021-12-26
2021年10月13日 - 12月29日,水曜 1:29 - 1:59（火曜深夜）[注 39],日本テレビ,関東広域圏,『AnichU』枠,放送,2021-10-13,2021-12-29
2021年10月14日 - 12月30日,木曜 1:24 - 1:54（水曜深夜）,秋田放送,秋田県,,放送,2021-10-14,2021-12-30
2021年10月15日 - 12月31日,金曜 1:29 - 1:59（木曜深夜）,くまもと県民テレビ,熊本県,,放送,2021-10-15,2021-12-31
2021年10月15日 - 12月31日,金曜 2:10 - 2:40（木曜深夜）,福岡放送,福岡県,,放送,2021-10-15,2021-12-31
2021年10月17日 - 2022年1月2日,日曜 0:33 - 1:00（土曜深夜）,BS日テレ,日本全域,BS放送 / 『アニメにむちゅ〜』枠,放送,2021-10-17,2022-01-02
2022年1月8日 - 4月2日,土曜 1:56 - 2:26（金曜深夜）[注 40],青森放送,青森県,,放送,2022-01-08,2022-04-02
