期間,時間,放送局,"対象地域・備考
[60]",タイプ,備考,配信サイト,開始,終了
2023年1月11日 - 3月29日,水曜 0:00 - 0:30（火曜深夜）,テレビ東京（番組担当・番組宣伝）ほか系列全6局,北海道・関東広域圏・愛知県・大阪府・岡山県・香川県・福岡県,放送,,,2023-01-11,2023-03-29
2023年1月12日 - 3月30日,木曜 21:30 - 22:00,AT-X,CS放送 / リピート放送あり[61],放送,,,2023-01-12,2023-03-30
2023年1月28日 - 4月15日,土曜 1:55 - 2:25（金曜深夜）,IBC岩手放送,岩手県,放送,,,2023-01-28,2023-04-15
2023年1月28日 - 4月15日,土曜 1:55 - 2:25（金曜深夜）,テレビユー福島,福島県,放送,,,2023-01-28,2023-04-15
2023年3月4日 -,土曜 1:55 - 2:25（金曜深夜）,山陰放送,鳥取県・島根県 / 『森谷佳奈のアニ物語』枠,放送,,,2023-03-04,
2023年3月4日 -,土曜 2:23 - 2:53（金曜深夜）,熊本放送,熊本県,放送,,,2023-03-04,
2023年1月11日,火曜 23:45 更新,,,配信,地上波先行配信,Amazon Prime Video,2023-01-11,
2023年1月11日,火曜 23:45 更新,,,配信,地上波先行配信,ひかりTV,2023-01-11,
