期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2019年10月10日 - 12月26日,木曜 0:55 - 1:25（水曜深夜）,フジテレビ,関東広域圏,製作参加 / 『+Ultra』枠,放送,2019-10-10,2019-12-26,
2019年10月10日 - 12月26日,木曜 1:55 - 2:25（水曜深夜),テレビ西日本,福岡県,,放送,2019-10-10,2019-12-26,
2019年10月11日 - 12月27日,金曜 1:55 - 2:25（木曜深夜）,関西テレビ,近畿広域圏,,放送,2019-10-11,2019-12-27,
2019年10月13日 - 12月29日,日曜 1:55 - 2:25（土曜深夜）,東海テレビ,中京広域圏,,放送,2019-10-13,2019-12-29,
2019年10月14日 - 12月30日,月曜 1:15 - 1:45（日曜深夜）,北海道文化放送,北海道,,放送,2019-10-14,2019-12-30,
2019年10月17日 - 2020年1月2日,木曜 0:00 - 0:30（水曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,2019-10-17,2020-01-02,
2021年1月7日 - 3月25日,木曜 0:55 - 1:25（水曜深夜）,フジテレビ,関東広域圏,製作参加 / 『+Ultra』枠,放送,2021-01-07,2021-03-25,
2021年1月7日 - 3月25日,木曜 1:55 - 2:25（水曜深夜),テレビ西日本,福岡県,,放送,2021-01-07,2021-03-25,
2021年1月8日 - 3月26日,金曜 1:55 - 2:25（木曜深夜）,関西テレビ,近畿広域圏,,放送,2021-01-08,2021-03-26,
2021年1月10日 - 3月28日,日曜 1:55 - 2:25（土曜深夜）,東海テレビ,中京広域圏,,放送,2021-01-10,2021-03-28,
2021年1月11日 - 3月29日,月曜 1:10 - 1:40（日曜深夜）,北海道文化放送,北海道,,放送,2021-01-11,2021-03-29,
2021年1月14日 - 4月1日,木曜 0:00 - 0:30（水曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,2021-01-14,2021-04-01,
