期間,時間,放送局,"対象地域・備考
[30]",タイプ,開始,終了,配信サイト
2022年4月2日 - 6月18日,土曜 1:50頃（金曜深夜）,,"秋田県・福井県・徳島県・佐賀県を除く字幕放送 / 『スーパーアニメイズム』枠""おしり""",放送,2022-04-02,2022-06-18,
2022年4月14日 - 6月30日,木曜 22:00 - 22:05,,CS放送 / リピート放送あり,放送,2022-04-14,2022-06-30,
