期間,時間,放送局,対象地域,備考,タイプ,フジテレビ,表話編歴+Ultra(カテゴリ),開始,終了,配信サイト
2021年4月15日 - 6月24日,木曜 0:55 - 1:25（水曜深夜）,,関東広域圏,製作参加 / 『+Ultra』枠,放送,,,2021-04-15,2021-06-24,
2021年4月15日 - 6月24日,木曜 1:55 - 2:25（水曜深夜）,,福岡県,,放送,,,2021-04-15,2021-06-24,
2021年4月16日 - 6月25日,金曜 1:55 - 2:25（木曜深夜）,,近畿広域圏,,放送,,,2021-04-16,2021-06-25,
2021年4月18日 - 6月27日,日曜 1:55 - 2:25（土曜深夜）,,中京広域圏,,放送,,,2021-04-18,2021-06-27,
2021年4月19日 - 6月28日,月曜 1:10 - 1:40（日曜深夜）,,北海道,,放送,,,2021-04-19,2021-06-28,
2021年4月22日 - 7月1日,木曜 0:00 - 0:30（水曜深夜）,,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,,,2021-04-22,2021-07-01,
2021年4月22日 - 7月1日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,"CX
製作参加
UHB
THK
KTV
TNC
BSフジ
製作参加
Netflix
FOD",2021-04-22,2021-07-01,
2021年4月22日 - 7月1日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,"博報堂DYメディアパートナーズ
電通
Crunchyroll
スロウカーブ",2021-04-22,2021-07-01,
2021年4月22日 - 7月1日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,"フジテレビの深夜アニメ枠
NOISE
ノイタミナ
アニメギルド",2021-04-22,2021-07-01,
