期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2021年7月10日 - 10月2日,土曜 22:30 - 23:00,TOKYO MX,東京都,,放送,2021-07-10,2021-10-02,
2021年7月10日 - 10月2日,土曜 22:30 - 23:00,サンテレビ,兵庫県,,放送,2021-07-10,2021-10-02,
2021年7月10日 - 10月2日,土曜 23:30 - 日曜 0:00,KBS京都,京都府,,放送,2021-07-10,2021-10-02,
2021年7月11日 - 10月3日,日曜 0:30 - 1:00（土曜深夜）,BS日テレ,日本全域,BS放送 / 「アニメにむちゅ〜」枠,放送,2021-07-11,2021-10-03,
2021年7月12日 - 10月4日,月曜 1:05 - 1:35（日曜深夜）,テレビ愛知,愛知県,,放送,2021-07-12,2021-10-04,
2021年7月12日 - 10月4日,月曜 1:30 - 2:00（日曜深夜）,北陸朝日放送,石川県,,放送,2021-07-12,2021-10-04,
2021年7月13日 - 10月5日,火曜 1:20 - 1:50（月曜深夜）,北海道テレビ,北海道,,放送,2021-07-13,2021-10-05,
2021年7月13日 - 10月5日,火曜 1:20 - 1:50（月曜深夜）,長野朝日放送,長野県,,放送,2021-07-13,2021-10-05,
2021年7月13日 - 10月5日,火曜 22:00 - 22:30,AT-X,日本全域,CS放送 / 字幕放送 / リピート放送あり[12],放送,2021-07-13,2021-10-05,
2021年7月14日 -,水曜 1:25 - 1:55（火曜深夜）,静岡放送,静岡県,「アニメ6区」枠,放送,2021-07-14,,
2021年7月14日 -,水曜 1:30 - 2:00（火曜深夜）,瀬戸内海放送,香川県・岡山県,,放送,2021-07-14,,
2021年7月14日2021年7月23日 -,水曜 1:31 - 2:01（火曜深夜）金曜 1:31 - 2:01（木曜深夜）,東日本放送,宮城県,,放送,2021-07-14,,
2021年7月15日 -,木曜 1:18 - 1:48（水曜深夜）,長崎文化放送,長崎県,「あに。」枠,放送,2021-07-15,,
2021年7月15日2021年7月23日 -,木曜 1:45 - 2:15（水曜深夜）金曜 1:45 - 2:15（木曜深夜）,新潟テレビ21,新潟県,,放送,2021-07-15,,
2021年7月17日 -,土曜 1:55 - 2:25（金曜深夜）,RKB毎日放送,福岡県,,放送,2021-07-17,,
2021年7月21日 -,水曜 2:00 - 2:30（火曜深夜）,テレビ新広島,広島県,,放送,2021-07-21,,
