期間,時間,放送局,対象地域,備考,タイプ,フジテレビ,表話編歴デジタルモンスター,表話編歴東映アニメーション,関連項目,企業,表話編歴東映,開始,終了,配信サイト
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"I wish
Keep On!
アシタハアタシノカゼガフク
いつも いつでも
My Tomorrow
Days -愛情と日常-
イノセント〜無邪気なままで〜
an Endless tale
One Star
流星
青い炎シンドローム",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"brave heart
Break up!
Beat Hit
SLASH!!
EVO
One Vision
トモダチの海
With The Will
The last Element
Believer
WE ARE クロスハート!
空舞う勇者×5
Evolution & Digixros
タギルチカラ!",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"作品No.2「春」イ長調〜ぼくらのウォーゲーム!〜
スタンド・バイ・ミー〜ひと夏の冒険〜
フレンド〜いつまでも忘れない〜
Moving on!
夕陽の約束",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"Miracle Maker
アクセンティア",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"デジモンアドベンチャー シングルヒットパレード
デジモンアドベンチャー ベストヒットパレード
デジモンアドベンチャー02 シングルヒットパレード
デジモンアドベンチャー02 ベストヒットパレード
デジモンテイマーズ シングルベストパレード
デジモン挿入歌ワンダーベストエボリューション
デジモンフロンティア ベストヒットパレード
デジモンセイバーズ ベストヒッツ+キャラクターニューソングス
DIGIMON HISTORY 1999-2006 ALL THE BEST
デジモンエンディングベストエイマー
DIGIMON MOVIE SONG COLLECTION
DIGIMON SONG BEST OF KOJI WADA
KOJI WADA DIGIMON MEMORIAL BEST",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"デジモン一覧
あ-さ
た-は
ま-わ
デジヴァイス
ファイル島
デ・リーパー
ロイヤルナイツ
クロンデジゾイド
デジタマ
デジタルワールド
D-1グランプリ",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"ウィズ
バンダイ
渡辺けんじ
ボルケーノ太田
集英社
Vジャンプ
最強ジャンプ
ヒーロークラブ
東映アニメーション
フジテレビ
テレビ朝日
テレビ東京",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,"カテゴリ
漫画
アニメ",,,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"狼少年ケン
少年忍者風のフジ丸
宇宙パトロールホッパ
ハッスルパンチ
レインボー戦隊ロビン
海賊王子
ピュンピュン丸
キングコング共
001/おや指トム共
サイボーグ009
あかねちゃん
佐武と市捕物控共
もーれつア太郎シリーズ
タイガーマスク",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"魔法使いサリーシリーズ
ひみつのアッコちゃんシリーズ
魔法のマコちゃん
さるとびエッちゃん
魔法使いチャッピー
ミラクル少女リミットちゃん
キューティーハニーシリーズ
魔女っ子メグちゃん
花の子ルンルン
魔法少女ララベル",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"第1作
第2作
第3作
第4作
第5作
第6作
墓場",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"キックの鬼
アパッチ野球軍
原始少年リュウ
デビルマン
マジンガーZ
バビル2世
ミクロイドS
ドロロンえん魔くん
キューティーハニー
ゲッターロボ
グレートマジンガー
カリメロ
少年徳川家康
ゲッターロボG
鋼鉄ジーグ
UFOロボ グレンダイザー
一休さん
大空魔竜ガイキング
マシンハヤブサ
マグネロボ ガ・キーン
キャンディ♡キャンディ
ジェッターマルス
超人戦隊バラタック
惑星ロボ ダンガードA
アローエンブレム グランプリの鷹
宇宙海賊キャプテンハーロック
SF西遊記スタージンガー
銀河鉄道999
キャプテン・フューチャー
あしたの勇者たち
大恐竜時代
燃えろアーサーシリーズ",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"ジャン・バルジャン物語
若草物語
荒野の呼び声 吠えろバック
走れメロス
ルパン対ホームズ
カバ園長の動物園日記
ぼくらマンガ家 トキワ荘物語
吾輩は猫である
十五少年漂流記
少年宮本武蔵 わんぱく二刀流
吾輩は犬である ドン松五郎の生活
どくとるマンボウ&怪盗ジバコ 宇宙より愛をこめて",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"がんばれ元気
ハロー!サンディベル
Dr.スランプ アラレちゃんシリーズ
Dr.スランプ アラレちゃん ペンギン村英雄伝説
新竹取物語 1000年女王
タイガーマスク二世
恐怖伝説 怪奇!フランケンシュタイン
あさりちゃん
機甲艦隊ダイラガーXV
パタリロ!
The♥かぼちゃワイン
わが青春のアルカディア 無限軌道SSX
アンドロメダ・ストーリーズ
愛してナイト
光速電神アルベガス
キン肉マンシリーズ
ストップ!! ひばりくん!
ベムベムハンターこてんぐテン丸
夢戦士ウイングマン
とんがり帽子のメモル
ビデオ戦士レザリオン
Gu-Guガンモ
北斗の拳シリーズ
はーいステップジュン
コンポラキッド
悪魔島のプリンス 三つ目がとおる
メイプルタウン物語
銀牙 -流れ星 銀-
剛Q超児イッキマン
聖闘士星矢
新メイプルタウン物語 パームタウン編
ビックリマン
仮面の忍者 赤影
レディレディ!!シリーズ
闘将!!拉麵男
魁!!男塾
悪魔くんシリーズ
新ビックリマン
かりあげクン",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"トランスフォーマー共
2010共
ザ☆ヘッドマスターズ
超神マスターフォース
V",,,,2021-10-10,2023-04-02,
2021年10月10日 - 2023年4月2日,日曜 6:30 - 7:00,,,,配信,,,"ドラゴンボール
Z
たったひとりの最終決戦
絶望への反抗!!
GT
改
超",,,,2021-10-10,2023-04-02,
