期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2019年10月11日 - 12月27日,金曜 1:28 - 1:58（木曜深夜）,TBSテレビ,関東広域圏,製作参加 / 字幕放送 / 『アニメリコ』第1部,放送,2019-10-11,2019-12-27,
2019年10月11日 - 12月27日,金曜 21:00 - 21:30,AT-X,日本全域,製作参加 /  CS放送 / リピート放送あり,放送,2019-10-11,2019-12-27,
2019年10月12日 - 12月28日,土曜 0:00 - 0:30（金曜深夜）,KBS京都,京都府,,放送,2019-10-12,2019-12-28,
2019年10月12日 - 12月28日,土曜 0:00 - 0:30（金曜深夜）,サンテレビ,兵庫県,,放送,2019-10-12,2019-12-28,
2019年10月14日 - 12月30日,月曜 1:00 - 1:30（日曜深夜）,BS11,日本全域,製作参加 / BS放送  / 『ANIME+』枠,放送,2019-10-14,2019-12-30,
2019年11月13日 - 2020年2月5日,水曜 1:00 - 1:30（火曜深夜）,テレビ神奈川,神奈川県,神奈川県内では実質再放送,放送,2019-11-13,2020-02-05,
2020年7月10日 - 9月25日,金曜 1:28 - 1:58（木曜深夜）,TBSテレビ,関東広域圏,製作参加 / 『アニメリコ』第1部,放送,2020-07-10,2020-09-25,
2020年7月10日 - 9月25日,金曜 22:30 - 23:00,AT-X,日本全域,製作参加 / CS放送 / リピート放送あり / 字幕放送,放送,2020-07-10,2020-09-25,
2020年7月11日 - 9月26日,土曜 0:00 - 0:30（金曜深夜）,KBS京都,京都府,,放送,2020-07-11,2020-09-26,
2020年7月11日 - 9月26日,土曜 0:00 - 0:30（金曜深夜）,サンテレビ,兵庫県,,放送,2020-07-11,2020-09-26,
2020年7月13日 - 9月28日,月曜 1:00 - 1:30（日曜深夜）,BS11,日本全域,製作参加 / BS放送  / 『ANIME+』枠,放送,2020-07-13,2020-09-28,
2020年8月4日 - 10月20日,火曜 1:54 - 2:21（月曜深夜）,長崎文化放送,長崎県,『あに。』枠[51],放送,2020-08-04,2020-10-20,
