期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2021年4月10日 - 6月26日,土曜 1:50頃（金曜深夜）,,日本国内[注 4],"『スーパーアニメイズム』枠""おしり""",放送,2021-04-10,2021-06-26,
2021年4月15日 - 7月1日,木曜 22:00 - 22:05,,日本全域,CS放送 / リピート放送あり,放送,2021-04-15,2021-07-01,
