期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2018年7月2日 - 12月24日,月曜 0:30 - 1:00（日曜深夜）,TOKYO MX,東京都,,放送,2018-07-02,2018-12-24,
2018年7月2日 - 12月24日,月曜 1:00 - 1:30（日曜深夜）,サンテレビ,兵庫県,,放送,2018-07-02,2018-12-24,
2018年7月3日 - 12月25日,火曜 3:00 - 3:30（月曜深夜）,TVQ九州放送,福岡県,,放送,2018-07-03,2018-12-25,
2018年7月4日 - 12月26日,水曜 2:05 - 2:35（火曜深夜）,テレビ愛知,愛知県,,放送,2018-07-04,2018-12-26,
2018年7月4日 - 12月26日,水曜 2:05 - 2:35（火曜深夜）,KBS京都,京都府,,放送,2018-07-04,2018-12-26,
2018年7月8日 - 12月30日,日曜 2:35 - 3:05（土曜深夜）,北海道テレビ,北海道,,放送,2018-07-08,2018-12-30,
2020年7月7日 - 9月29日,火曜 0:30 - 1:00（月曜深夜）,TOKYO MX,東京都,,放送,2020-07-07,2020-09-29,
2020年7月7日 - 9月29日,火曜 0:30 - 1:00（月曜深夜）,サンテレビ,兵庫県,,放送,2020-07-07,2020-09-29,
2020年7月7日 - 9月29日,火曜 0:30 - 1:00（月曜深夜）,KBS京都,京都府,,放送,2020-07-07,2020-09-29,
2020年7月7日 - 9月29日,火曜 1:20 - 1:50（月曜深夜）,北海道テレビ,北海道,,放送,2020-07-07,2020-09-29,
2020年7月7日 - 9月29日,火曜 2:05 - 2:35（月曜深夜）,テレビ愛知,愛知県,,放送,2020-07-07,2020-09-29,
2020年7月10日 - 10月1日,金曜 3:00 - 3:30（木曜深夜）,TVQ九州放送,福岡県,,放送,2020-07-10,2020-10-01,
