期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2021年10月2日 - 11月27日,土曜 1:00 - 1:05（金曜深夜）,TOKYO MX,東京都,,放送,2021-10-02,2021-11-27,
2021年10月4日 - 11月29日,月曜 1:05 - 1:10（日曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2021-10-04,2021-11-29,
