期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2022年7月8日 - 9月30日,金曜 1:30 - 2:00（木曜深夜）,テレビ東京,関東広域圏,,放送,2022-07-08,2022-09-30,
2022年7月8日 - 9月30日,金曜 23:00 - 23:30,BS朝日,日本全域,製作参加 / BS放送 / 『アニメA』枠,放送,2022-07-08,2022-09-30,
2022年9月6日 - 11月22日,火曜 20:30 - 21:00,AT-X,日本全域,CS放送 / 字幕放送[14] / リピート放送あり,放送,2022-09-06,2022-11-22,
