期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2021年10月4日 - 11月22日（第1期）[12]2022年1月9日 - 3月13日（第2期）[19],月曜 1:00 - 1:05（日曜深夜）,TOKYO MX,東京都,,放送,2021-10-04,,
2021年10月4日 - 11月22日（第1期）[12]2022年1月9日 - 3月13日（第2期）[19],月曜 1:00 - 1:05（日曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2021-10-04,,
