期間,時間,放送局,対象地域,備考,タイプ,フジテレビ,表話編歴+Ultra(カテゴリ),開始,終了,配信サイト
2022年4月7日 - 6月23日,木曜 0:55 - 1:25（水曜深夜）,,関東広域圏,製作参加 /『+Ultra』枠初回は0:35 - 1:05に放送,放送,,,2022-04-07,2022-06-23,
2022年4月7日 - 6月23日,木曜 1:55 - 2:25（水曜深夜）,,福岡県,,放送,,,2022-04-07,2022-06-23,
2022年4月8日 - 6月24日,金曜 2:25 - 2:55（木曜深夜）,,近畿広域圏,,放送,,,2022-04-08,2022-06-24,
2022年4月10日 - 6月26日,日曜 1:45 - 2:15（土曜深夜）,,中京広域圏,,放送,,,2022-04-10,2022-06-26,
2022年4月11日 - 6月27日,月曜 1:10 - 1:40（日曜深夜）,,北海道,,放送,,,2022-04-11,2022-06-27,
2022年4月14日 - 6月30日,木曜 0:00 - 0:30（水曜深夜）,,日本全域,製作参加 / BS放送 / 『アニメギルド』枠,放送,,,2022-04-14,2022-06-30,
2022年4月14日 - 6月30日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,"CX
製作参加
UHB
THK
KTV
TNC
BSフジ
製作参加
Netflix
FOD",2022-04-14,2022-06-30,
2022年4月14日 - 6月30日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,"博報堂DYメディアパートナーズ
電通
Crunchyroll
スロウカーブ",2022-04-14,2022-06-30,
2022年4月14日 - 6月30日,木曜 0:00 - 0:30（水曜深夜）,,,,配信,,"フジテレビの深夜アニメ枠
NOISE
ノイタミナ
アニメギルド",2022-04-14,2022-06-30,
