期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2020年10月2日 - 12月25日,金曜 1:28 - 1:58（木曜深夜）,,関東広域圏,製作参加 / 『アニメリコ』第1部 / 字幕放送,放送,2020-10-02,2020-12-25,
2020年10月2日 - 12月25日,金曜 1:30 - 2:00（木曜深夜）,,京都府,,放送,2020-10-02,2020-12-25,
2020年10月2日 - 12月25日,金曜 1:30 - 2:00（木曜深夜）,,兵庫県,,放送,2020-10-02,2020-12-25,
2020年10月2日 - 12月25日,金曜 2:30 - 3:00（木曜深夜）,,広島県,,放送,2020-10-02,2020-12-25,
2020年10月4日 - 12月27日,日曜 2:00 - 2:30（土曜深夜）,,日本全域,BS/BS4K放送 / 『アニメリコ』枠,放送,2020-10-04,2020-12-27,
2020年10月4日 - 12月27日,日曜 1:00 - 1:30（土曜深夜）,,北海道,,放送,2020-10-04,2020-12-27,
2020年10月4日 - 12月27日,日曜 2:30 - 3:00（土曜深夜）,,石川県,『アニ帯』枠,放送,2020-10-04,2020-12-27,
2020年10月5日 - 12月28日,月曜 1:25 - 1:55（日曜深夜）,,新潟県,[注 3],放送,2020-10-05,2020-12-28,
2020年10月6日 - 12月29日,火曜 1:50 - 2:20（月曜深夜）,,愛媛県,,放送,2020-10-06,2020-12-29,
2020年10月7日 - 12月27日[注 4],水曜 2:05 - 2:35（火曜深夜）,,愛知県,,放送,2020-10-07,2020-12-27,
2020年10月7日 - 12月30日,水曜 1:20 - 1:50（火曜深夜）,,長野県,,放送,2020-10-07,2020-12-30,
2020年10月7日 - 12月30日,水曜 2:30 - 3:00（火曜深夜）,,山梨県,,放送,2020-10-07,2020-12-30,
2020年10月7日 - 12月30日,水曜 1:18 - 1:48（火曜深夜）,,長崎県,『あに。』枠,放送,2020-10-07,2020-12-30,
2020年10月8日 - 12月31日,木曜 2:30 - 3:00（水曜深夜）,,福岡県,,放送,2020-10-08,2020-12-31,
2020年10月8日 - 12月31日,木曜 1:59 - 2:29（水曜深夜）,,静岡県,,放送,2020-10-08,2020-12-31,
2020年10月12日 - 2021年1月4日,月曜 1:00 - 1:30（日曜深夜）,,日本全域,CS放送 / 『アニメリコ』第1部[130],放送,2020-10-12,2021-01-04,
