期間,時間,放送局,対象地域,備考,タイプ,フジテレビ,開始,終了,配信サイト
2021年10月7日 - 12月23日,木曜 0:55 - 1:25（水曜深夜）,,関東広域圏,製作参加 / 『+Ultra』枠,放送,,2021-10-07,2021-12-23,
2021年10月7日 - 12月23日,木曜 1:55 - 2:25（水曜深夜）,,福岡県,,放送,,2021-10-07,2021-12-23,
2021年10月8日 - 12月24日,金曜 1:55 - 2:25（木曜深夜）,,近畿広域圏,第1話は地震[25]の影響で 3:30 - 4:00 に変更[26]。,放送,,2021-10-08,2021-12-24,
2021年10月10日 - 12月26日,日曜 1:45 - 2:15（土曜深夜）,,中京広域圏,,放送,,2021-10-10,2021-12-26,
2021年10月11日 - 12月27日,月曜 1:10 - 1:40（日曜深夜）,,北海道,,放送,,2021-10-11,2021-12-27,
2021年10月14日 - 12月30日,木曜 0:00 - 0:30（水曜深夜）,,日本全域,製作参加 / BS放送 / 『アニメギルド』枠,放送,,2021-10-14,2021-12-30,
2022年10月6日 - 12月22日,木曜 0:55 - 1:25（水曜深夜）,,関東広域圏,製作参加 / 『+Ultra』枠,放送,,2022-10-06,2022-12-22,
2022年10月6日 - 12月22日,木曜 1:55 - 2:25（水曜深夜）,,福岡県,,放送,,2022-10-06,2022-12-22,
2022年10月7日 - 12月23日,金曜 2:25 - 2:55（木曜深夜）,,近畿広域圏,,放送,,2022-10-07,2022-12-23,
2022年10月9日 - 12月25日,日曜 1:45 - 2:15（土曜深夜）,,中京広域圏,,放送,,2022-10-09,2022-12-25,
2022年10月9日 - 12月25日,日曜 23:00 - 23:30,,日本全域,CS放送  / リピート放送あり  / 字幕放送,放送,,2022-10-09,2022-12-25,
2022年10月10日 - 12月26日,月曜 1:10 - 1:40（日曜深夜）,,北海道,,放送,,2022-10-10,2022-12-26,
2022年10月13日 - 12月29日,木曜 0:00 - 0:30（水曜深夜）,,日本全域,製作参加 / BS放送 / 『アニメギルド』枠,放送,,2022-10-13,2022-12-29,
