期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2021年4月5日 - 6月21日,月曜 22:00 - 22:30,AT-X,日本全域,CS放送 / 字幕放送[17] / リピート放送あり,放送,2021-04-05,2021-06-21,
2021年4月5日 - 6月21日,月曜 23:00 - 23:30,TOKYO MX,東京都,,放送,2021-04-05,2021-06-21,
2021年4月6日 - 6月22日,火曜 0:30 - 1:00（月曜深夜）,群馬テレビ,群馬県,,放送,2021-04-06,2021-06-22,
2021年4月6日 - 6月22日,火曜 0:30 - 1:00（月曜深夜）,サンテレビ,兵庫県,,放送,2021-04-06,2021-06-22,
2021年4月9日 - 6月25日,金曜 0:30 - 1:00（木曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,2021-04-09,2021-06-25,
2021年4月9日 - 6月25日,金曜 1:20 - 1:50（木曜深夜）,北海道文化放送,北海道,製作参加 / 初回は1:35 - 2:05に放送,放送,2021-04-09,2021-06-25,
2021年4月9日 - 6月25日,金曜 23:00 - 23:30,とちぎテレビ,栃木県,,放送,2021-04-09,2021-06-25,
2021年4月11日 - 6月27日,日曜 1:28 - 1:58（土曜深夜）,宮崎放送,宮崎県,製作参加 / 初回は1:45 - 2:15に放送,放送,2021-04-11,2021-06-27,
2021年4月17日 - 7月3日,土曜 1:56 - 2:26（金曜深夜）,青森放送,青森県,,放送,2021-04-17,2021-07-03,
2021年6月18日 - 9月3日,金曜 1:00 - 1:30（木曜深夜）,テレビ長崎,長崎県,,放送,2021-06-18,2021-09-03,
