期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2018年7月10日 - 9月18日,火曜 0:00 - 0:30（月曜深夜）,BSフジ,日本全域,製作参加 / BS放送 / 『アニメギルド』枠,放送,2018-07-10,2018-09-18,
2018年7月10日 - 9月18日,火曜 1:05 - 1:35（月曜深夜）,TOKYO MX,東京都,,放送,2018-07-10,2018-09-18,
2018年7月10日 - 9月18日,火曜 1:30 - 2:00（月曜深夜）,サンテレビ,兵庫県,,放送,2018-07-10,2018-09-18,
2018年7月11日 - 9月19日,水曜 2:45 - 3:15（火曜深夜）,びわ湖放送,滋賀県,,放送,2018-07-11,2018-09-19,
2018年7月12日 - 9月20日,木曜 0:00 - 0:30（水曜深夜）,とちぎテレビ,栃木県,,放送,2018-07-12,2018-09-20,
2018年7月12日 - 9月20日,木曜 2:20 - 2:50（水曜深夜）,三重テレビ,三重県,,放送,2018-07-12,2018-09-20,
2018年7月13日 - 9月21日,金曜 21:30 - 22:00,AT-X,日本全域,CS放送 / リピート放送あり,放送,2018-07-13,2018-09-21,
2018年7月14日 - 9月22日,土曜 1:00 - 1:30（金曜深夜）,千葉テレビ,千葉県,,放送,2018-07-14,2018-09-22,
2018年7月16日 - 9月24日,月曜 1:45 - 2:15（日曜深夜）,北海道文化放送,北海道,製作参加,放送,2018-07-16,2018-09-24,
2018年7月16日 - 9月24日,月曜 2:00 - 2:30（日曜深夜）,西日本放送,香川県・岡山県,,放送,2018-07-16,2018-09-24,
2020年4月6日 - 6月22日,月曜 22:30 - 23:00,AT-X,日本全域,CS放送 / リピート放送あり,放送,2020-04-06,2020-06-22,
2020年4月7日 - 6月23日,火曜 0:30 - 1:00（月曜深夜）,群馬テレビ,群馬県,,放送,2020-04-07,2020-06-23,
2020年4月7日 - 6月23日,火曜 0:30 - 1:00（月曜深夜）,とちぎテレビ,栃木県,,放送,2020-04-07,2020-06-23,
2020年4月7日 - 6月23日,火曜 1:15 - 1:45（月曜深夜）,TOKYO MX,東京都,,放送,2020-04-07,2020-06-23,
2020年4月7日 - 6月23日,火曜 1:30 - 2:00（月曜深夜）,サンテレビ,兵庫県,,放送,2020-04-07,2020-06-23,
2020年4月8日 - 6月24日,水曜 0:30 - 1:00（火曜深夜）,BSフジ,日本全域,製作参加 / BS/BS4K放送 / 『アニメギルド』枠,放送,2020-04-08,2020-06-24,
2020年4月8日 - 6月24日,水曜 1:50 - 2:20（火曜深夜）,北海道文化放送,北海道,製作参加,放送,2020-04-08,2020-06-24,
2020年4月9日 - 6月25日,木曜 1:00 - 1:30（水曜深夜）,千葉テレビ,千葉県,,放送,2020-04-09,2020-06-25,
2020年4月11日 - 6月27日,土曜 1:55 - 2:25（金曜深夜）,テレビ山口,山口県,,放送,2020-04-11,2020-06-27,
2020年4月13日 - 6月29日,月曜 2:00 - 2:30（日曜深夜）,西日本放送,香川県・岡山県,,放送,2020-04-13,2020-06-29,
2020年5月8日 - 8月7日,金曜 1:00 - 1:30（木曜深夜）,テレビ長崎,長崎県,,放送,2020-05-08,2020-08-07,
2022年4月7日 - 6月23日,木曜 2:10 - 2:15（水曜深夜）,北海道文化放送,北海道,,放送,2022-04-07,2022-06-23,
2022年7月6日 - 9月21日,水曜 2:05 - 2:35（火曜深夜）,テレビ東京,関東広域圏,,放送,2022-07-06,2022-09-21,
2022年7月7日 - 9月22日,木曜 0:30 - 1:00（水曜深夜）,BS日テレ,日本全域,製作参加 / BS放送 / 『アニメにむちゅ〜』枠,放送,2022-07-07,2022-09-22,
2022年7月7日 - 9月22日,木曜 1:40 - 2:10（水曜深夜）,北海道文化放送,北海道,製作参加,放送,2022-07-07,2022-09-22,
2022年7月8日 - 9月23日,金曜 0:30 - 1:00（木曜深夜）,BSフジ,日本全域,製作参加 /  BS/BS4K放送 / 『アニメギルド』枠,放送,2022-07-08,2022-09-23,
2022年7月8日 - 9月23日,金曜 22:00 - 22:30,AT-X,日本全域,CS放送 / 字幕放送[147] / リピート放送あり,放送,2022-07-08,2022-09-23,
2022年7月15日 - 9月30日,金曜 2:05 - 2:35（木曜深夜）,テレビ長崎,長崎県,製作参加,放送,2022-07-15,2022-09-30,
