期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2022年7月3日 - 12月25日,日曜 1:00 - 1:30（土曜深夜）,TOKYO MX,東京都,,放送,2022-07-03,2022-12-25,
2022年7月3日 - 12月25日,日曜 1:00 - 1:30（土曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,2022-07-03,2022-12-25,
2022年7月5日 - 12月27日,火曜 1:55 - 2:25（月曜深夜）,北海道テレビ,北海道,,放送,2022-07-05,2022-12-27,
2022年7月7日 - 12月29日,木曜 23:00 - 23:30,AT-X,日本全域,CS放送 / 字幕放送[27] / リピート放送あり,放送,2022-07-07,2022-12-29,
