期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2002年4月6日 - 2003年3月29日,土曜 8:00 - 8:30,テレビ愛知（製作局）をはじめとするテレビ東京系列全6局,日本国内[注 12],,放送,2002-04-06,2003-03-29,
2002年4月14日 - 2003年4月6日[57],日曜 6:30 - 7:00,石川テレビ,石川県,,放送,2002-04-14,2003-04-06,
- 2003年5月14日[58],水曜 15:30 - 16:00,福島テレビ,福島県,,放送,,2003-05-14,
不明,土曜 6:00 - 6:30,仙台放送,宮城県,,放送,,,
不明,月曜 7:30 - 8:00,奈良テレビ,奈良県,,放送,,,
不明,月曜 15:53 - 16:23,広島テレビ,広島県,,放送,,,
不明,日曜 7:30 - 8:00,くまもと県民テレビ,熊本県,,放送,,,
不明,火曜 16:00 - 16:30,鹿児島読売テレビ,鹿児島県,,放送,,,
不明,不明,BSジャパン,日本全域,BS放送 / [注 13][注 14],放送,,,
不明,不明,AT-X,日本全域,CS放送,放送,,,
不明,不明,キッズステーション,日本全域,CS放送,放送,,,
