期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2021年10月10日 - 2022年3月27日,日曜 0:55 - 1:25（土曜深夜）,日本テレビ,関東広域圏,製作参加 / 字幕放送,放送,2021-10-10,2022-03-27,
2021年10月10日 - 2022年3月27日,日曜 0:55 - 1:25（土曜深夜）,青森放送,青森県,字幕放送,放送,2021-10-10,2022-03-27,
2021年10月10日 - 2022年3月27日,日曜 0:55 - 1:25（土曜深夜）,テレビ岩手,岩手県,字幕放送,放送,2021-10-10,2022-03-27,
2021年10月10日 - 2022年3月27日,日曜 0:55 - 1:25（土曜深夜）,山形放送,山形県,字幕放送,放送,2021-10-10,2022-03-27,
2021年10月10日 - 2022年3月27日,日曜 0:55 - 1:25（土曜深夜）,南海放送,愛媛県,字幕放送,放送,2021-10-10,2022-03-27,
2021年10月10日 - 2022年3月27日,日曜 1:50 - 2:20（土曜深夜）,山口放送,山口県,字幕放送,放送,2021-10-10,2022-03-27,
2021年10月10日 - 2022年3月27日,日曜 1:52 - 2:22（土曜深夜）,四国放送,徳島県,字幕放送,放送,2021-10-10,2022-03-27,
2021年10月10日 - 2022年3月27日,日曜 1:55 - 2:25（土曜深夜）,静岡第一テレビ,静岡県,,放送,2021-10-10,2022-03-27,
2021年10月10日 - 2022年1月8日 - 2022年3月27日,日曜 0:55 - 1:25（土曜深夜）日曜 1:50 - 2:20（土曜深夜）,テレビ宮崎,宮崎県,字幕放送 / [注 11],放送,2021-10-10,2022-01-08,
2021年10月11日 -,月曜 1:25 - 1:55（日曜深夜）,テレビ大分,大分県,字幕放送,放送,2021-10-11,,
2021年10月11日 -,月曜 1:55 - 2:25（日曜深夜）,西日本放送,香川県・岡山県,,放送,2021-10-11,,
2021年10月12日 -,火曜 1:59 - 2:29（月曜深夜）,福岡放送,福岡県,,放送,2021-10-12,,
2021年10月12日 -,火曜 2:05 - 2:35（月曜深夜）,日本海テレビ,鳥取県・島根県,字幕放送,放送,2021-10-12,,
2021年10月13日 -,水曜 1:29 - 1:59（火曜深夜）,長崎国際テレビ,長崎県,,放送,2021-10-13,,
2021年10月13日 -,水曜 1:54 - 2:24（火曜深夜）,中京テレビ,中京広域圏,,放送,2021-10-13,,
2021年10月14日 -,木曜 1:34 - 2:04（水曜深夜）,鹿児島読売テレビ,鹿児島県,字幕放送,放送,2021-10-14,,
2021年10月14日 -,木曜 1:54 - 2:24（水曜深夜）,北日本放送,富山県,字幕放送,放送,2021-10-14,,
2021年10月14日 -,木曜 1:59 - 2:29（水曜深夜）,札幌テレビ,北海道,字幕放送,放送,2021-10-14,,
2021年10月15日 -,金曜 0:59 - 1:29（木曜深夜）,くまもと県民テレビ,熊本県,字幕放送,放送,2021-10-15,,
2021年10月15日 -,金曜 1:24 - 1:54（木曜深夜）,秋田放送,秋田県,字幕放送,放送,2021-10-15,,
2021年10月15日 -,金曜 1:34 - 2:04（木曜深夜）,テレビ金沢,石川県,字幕放送,放送,2021-10-15,,
2021年10月15日 -,金曜 1:44 - 2:14（木曜深夜）,テレビ新潟,新潟県,,放送,2021-10-15,,
2021年10月15日 -,金曜 1:44 - 2:14（木曜深夜）,テレビ信州,長野県,字幕放送,放送,2021-10-15,,
2021年10月15日 -,金曜 1:54 - 2:24（木曜深夜）,高知放送,高知県,,放送,2021-10-15,,
2021年10月16日 -,土曜 0:30 - 1:00（金曜深夜）,福井放送,福井県,字幕放送,放送,2021-10-16,,
2021年10月16日 -,土曜 1:28 - 1:58（金曜深夜）,読売テレビ,近畿広域圏,『金曜日はシンデレラ』枠,放送,2021-10-16,,
2021年10月16日 -,土曜 1:56 - 2:26（金曜深夜）,福島中央テレビ,福島県,字幕放送,放送,2021-10-16,,
2021年10月16日 -,土曜 2:29 - 2:59（金曜深夜）,ミヤギテレビ,宮城県,,放送,2021-10-16,,
2021年10月17日 -,日曜 1:10 - 1:40（土曜深夜）,山梨放送,山梨県,字幕放送,放送,2021-10-17,,
2021年10月17日 -,日曜 1:25 - 1:55（土曜深夜）,広島テレビ,広島県,字幕放送,放送,2021-10-17,,
2021年10月18日  - 2022年3月21日2022年3月28日,月曜 23:30 - 火曜 0:00月曜 23:00 - 火曜 0:00,BS日テレ,日本全域,BS放送 / 『アニメにむちゅ〜』枠,放送,2021-10-18,2022-03-21,
