期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2022年4月2日 - 9月24日,土曜 17:30 - 18:00,,日本国内[注 2],連動データ放送[17],放送,2022-04-02,2022-09-24,
2022年4月3日 - 9月25日,日曜 7:00 - 7:30,,大分県,NNS/FNSクロスネット局,放送,2022-04-03,2022-09-25,
2022年4月6日 - 9月28日,水曜 20:00 - 20:30,,日本全域,CS放送 / リピート放送あり[18],放送,2022-04-06,2022-09-28,
