期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2022年10月11日 - 3月28日,火曜 2:20 - 2:35（月曜深夜）,,関東広域圏,製作参加 / 『Mナイト』枠内,放送,2022-10-11,2022-03-28,
2022年10月15日 - 4月15日,土曜 22:30 - 22:45,,日本全域,製作参加 / CS放送 / リピート放送あり,放送,2022-10-15,2022-04-15,
2022年10月19日 - 4月5日,水曜 0:30 - 0:45（火曜深夜）,,日本全域,BS放送 / 『アニメギルド』枠,放送,2022-10-19,2022-04-05,
