期間,時間,放送局,対象地域,備考,タイプ,開始,終了,配信サイト
2021年7月3日 - 9月18日,土曜 1:50頃（金曜深夜）,,日本国内[注 1],"字幕放送 / 『スーパーアニメイズム』枠""おしり""",放送,2021-07-03,2021-09-18,
2021年7月4日 -,日曜 8:28 - 8:30,,日本国内,『アニおびキッズ』枠,放送,2021-07-04,,
2021年7月8日 - 9月23日,木曜 22:05 - 22:10,,日本全域,CS放送 / リピート放送あり,放送,2021-07-08,2021-09-23,
